trade_date,close,TermStructure,Volume,OI,pct_change,ma5,ma10
2015-11-17,18136.474226280938,0.0,640530.0,212902.0,0.0,18393.350144504566,18339.04416179298
2015-11-18,18067.51424823424,-0.0038022813688212928,443222.0,210792.0,-0.0038022813688213253,18326.114165909035,18300.254174141715
2015-11-19,17757.194347024113,-0.01717557251908397,493570.0,205708.0,-0.01717557251908386,18167.506216401634,18258.878187313698
2015-11-20,17826.15432507081,0.003883495145631068,452946.0,188948.0,0.003883495145631022,17984.762274577894,18223.53619856477
2015-11-23,17920.974294885014,0.005319148936170213,479578.0,164624.0,0.005319148936170137,17941.662288298707,18205.434204327506
2015-11-24,17920.974294885014,0.0,553584.0,150926.0,0.0,17898.562302019523,18145.956223262234
2015-11-25,18235.864799291263,0.01757105943152455,564500.0,189162.0,0.017571059431524594,17932.23241223093,18129.17328907017
2015-11-26,18717.462041324347,0.026409344845099034,854126.0,190884.0,0.026409344845098826,18124.285951090977,18145.896083746495
2015-11-27,18560.016789121222,-0.008411677387431964,619878.0,192056.0,-0.008411677387431982,18271.05844390106,18127.910359239664
2015-11-30,18300.695197257253,-0.013972055888223553,528248.0,199100.0,-0.013972055888223589,18347.002624375506,18144.332456337295
2015-12-01,18810.07689556148,0.02783400809716599,794790.0,204228.0,0.027834008097166185,18524.8231445108,18211.69272326535
2015-12-02,19236.105225052284,0.022648941408173313,792338.0,211096.0,0.022648941408173195,18724.871229663004,18328.551820947156
2015-12-03,18930.47620606975,-0.015888300433317286,813390.0,209666.0,-0.015888300433317237,18767.474062612087,18445.88000685172
2015-12-04,18874.90729352747,-0.0029354207436399216,808530.0,210646.0,-0.0029354207436399493,18830.45216349334,18550.755303697384
2015-12-07,19384.288991831698,0.026987242394504417,876098.0,230974.0,0.026987242394504563,19047.170922408226,18697.086773392053
2015-12-08,18893.430264374896,-0.025322503583373148,760826.0,216196.0,-0.02532250358337329,19063.84159617091,18794.332370341046
2015-12-09,18902.69174979861,0.0004901960784313725,734826.0,220744.0,0.0004901960784313708,18997.158901120176,18861.015065391777
2015-12-10,18448.878964036663,-0.0240078392944635,902008.0,247716.0,-0.024007839294463595,18900.839452713557,18834.15675766301
2015-12-11,18958.26066234089,0.027610441767068273,896780.0,226372.0,0.027610441767068394,18917.51012647624,18873.981144984973
2015-12-14,18948.999176917176,-0.0004885197850512946,768728.0,226706.0,-0.0004885197850513778,18830.452163493337,18938.81154295097
2015-12-15,18745.246497595486,-0.010752688172043012,885278.0,219148.0,-0.010752688172043001,18800.815410137453,18932.32850315437
2015-12-16,18856.384322680045,0.005928853754940711,645044.0,219736.0,0.005928853754940677,18791.553924713742,18894.356412917146
2015-12-17,18717.462041324347,-0.0073673870333988214,800794.0,228840.0,-0.007367387033398898,18845.270540171277,18873.054996442606
2015-12-18,19023.09106030688,0.01632855022266205,731614.0,222328.0,0.016328550222661997,18858.236619764473,18887.873373120547
2015-12-21,19921.45514640706,0.047224926971762414,950676.0,250016.0,0.04722492697176239,19052.72781366245,18941.589988578082
2015-12-22,19810.3173213225,-0.005578800557880056,702010.0,253546.0,-0.00557880055788007,19265.741978407856,19033.278694272845
2015-12-23,19754.748408780222,-0.002805049088359046,692142.0,253278.0,-0.0028050490883591017,19445.414795627894,19118.48436017101
2015-12-24,19615.826127424527,-0.007032348804500703,856622.0,251520.0,-0.007032348804500543,19625.087612847932,19235.17907650979
2015-12-25,19689.918010814232,0.003777148253068933,457292.0,249810.0,0.0037771482530688516,19758.4530029494,19308.34481135713
2015-12-28,19143.490370815154,-0.027751646284101598,628076.0,240296.0,-0.02775164628410154,19602.860047831018,19327.793930746924
2015-12-29,19486.165331492542,0.017900338655055636,596886.0,238274.0,0.01790033865505558,19538.029649865028,19401.88581413663
2015-12-30,19652.872069119378,0.008555133079847909,722204.0,249090.0,0.008555133079847899,19517.654381932858,19481.534588780567
2015-12-31,19523.211273187393,-0.006597549481621112,614846.0,246392.0,-0.006597549481621057,19499.131411085433,19562.109511966868
2016-01-04,18819.33838098519,-0.036053130929791274,682378.0,266912.0,-0.03605313092979123,19325.015485119624,19541.734244034702
2016-01-05,18874.90729352747,0.002952755905511811,634596.0,276548.0,0.0029527559055118058,19271.29886966209,19437.079458746743
2016-01-06,18652.631643358356,-0.011776251226692836,664940.0,290438.0,-0.011776251226692791,19104.592132035254,19321.310890950328
2016-01-07,18671.15461420578,0.0009930486593843098,784090.0,278630.0,0.0009930486593843213,18908.248641052534,19212.951511492884
2016-01-08,18689.677585053207,0.000992063492063492,688222.0,272002.0,0.0009920634920634885,18741.541903425696,19120.33665725575
2016-01-11,17967.28172200358,-0.03865213082259663,787438.0,306270.0,-0.03865213082259655,18571.130571629372,18948.073028374685
2016-01-12,17856.14389691902,-0.006185567010309278,663010.0,303438.0,-0.006185567010309367,18367.377892307682,18819.33838098507
2016-01-13,18245.126284714974,0.021784232365145227,771850.0,284602.0,0.02178423236514515,18285.876820579004,18695.234476307312
2016-01-14,18309.956682680968,0.003553299492385787,701512.0,285068.0,0.0035532994923859196,18213.637234274043,18560.942937663473
2016-01-15,18143.24994505413,-0.009104704097116844,672864.0,283598.0,-0.009104704097116945,18104.351706274232,18422.946804850144
2016-01-18,18800.815410137766,0.03624298111281266,894570.0,253384.0,0.036242981112812656,18271.058443901067,18421.0945077654
2016-01-19,19162.01334166258,0.01921182266009852,813596.0,243816.0,0.019211822660098576,18532.23233284978,18449.805112578913
2016-01-20,19013.82957488317,-0.007733204446592557,673990.0,242066.0,-0.007733204446592534,18685.97299088342,18485.924905731394
2016-01-21,18893.430264374896,-0.0063321967851924016,691006.0,246394.0,-0.006332196785192479,18802.667707222205,18508.152470748304
2016-01-22,19236.105225052284,0.018137254901960786,747726.0,243982.0,0.01813725490196072,19021.238763221838,18562.795234748213
2016-01-25,19115.705914544014,-0.006259027443428021,583260.0,247392.0,-0.006259027443427989,19084.216864103084,18677.637654002254
2016-01-26,18810.07689556148,-0.015988372093023256,554126.0,248810.0,-0.015988372093023173,19013.829574882864,18773.0309538665
2016-01-27,19263.889681323424,0.0241260462826194,573732.0,247304.0,0.024126046282619384,19063.841596170914,18874.907293527347
2016-01-28,18874.90729352747,-0.020192307692307693,515740.0,243814.0,-0.02019230769230762,19060.13700200143,18931.402354611997
2016-01-29,18911.953235222325,0.001962708537782139,590514.0,232154.0,0.001962708537782243,18995.30660403544,19008.272683628817
2016-02-01,18874.90729352747,-0.0019588638589618022,554042.0,232246.0,-0.0019588638589619345,18947.14687983213,19015.68187196779
2016-02-02,18893.430264374896,0.0009813542688910696,565680.0,231944.0,0.0009813542688910104,18963.817553594814,18988.82356423902
2016-02-03,18810.07689556148,-0.004411764705882353,469956.0,229982.0,-0.004411764705882226,18873.05499644242,18968.44829630685
2016-02-04,19143.490370815154,0.01772525849335303,520782.0,223344.0,0.017725258493352936,18926.77161189996,18993.45430695088
2016-02-05,18884.168778951185,-0.013546202225447508,342124.0,203414.0,-0.013546202225447446,18921.214720645734,18958.26066234077
2016-02-15,19504.688302339968,0.03285924472780775,528802.0,242930.0,0.03285924472780777,19047.170922408233,18997.15890112037
