trade_date,instrument_type,open,high,low,close,volume,oi,amount
2017-02-03,RU,34703.187403842036,34711.267307777736,32198.417183774272,32602.412380559395,338534.0,248324.0,6917088.52
2017-02-06,RU,32602.412380559395,32909.44873011609,32125.69804835295,32448.89420578105,347538.0,258420.0,7007804.0
2017-02-07,RU,32529.693245138074,33499.28171742237,32246.896607388488,33418.482678065346,516704.0,282360.0,10479914.28
2017-02-08,RU,33361.923350515426,33984.07595356452,33046.80709702303,33491.20181348667,438590.0,273718.0,9085769.78
2017-02-09,RU,33499.28171742237,33814.39797091477,32966.008057666004,33264.964503286996,421226.0,273500.0,8719071.35
2017-02-10,RU,33095.286520637244,34501.189805449474,32982.16786553741,33887.11710633609,529878.0,284662.0,11053016.43
2017-02-13,RU,34016.39556930733,35769.734723354755,33975.99604962881,35559.65722102649,536406.0,298660.0,11632950.4
2017-02-14,RU,35543.49741315509,35664.695972190624,34921.344810106,35575.8170288979,362700.0,295868.0,7941087.19
2017-02-15,RU,35470.77827773377,36052.531361104346,34565.829036935094,34824.38596287757,536040.0,293510.0,11640955.85
2017-02-16,RU,34711.267307777736,35196.06154391988,32683.21141991642,32836.72959469477,638776.0,282244.0,13532093.57
2017-02-17,RU,32957.9281537303,33345.763542644025,32360.015262488323,32933.688441923194,513092.0,274468.0,10457788.74
2017-02-20,RU,32974.08796160171,33168.005656058565,31915.62054602469,32804.40997895196,490040.0,272918.0,9899344.54
2017-02-21,RU,32966.008057666004,33450.802293808156,32182.257375902867,32465.054013652454,525568.0,277494.0,10692991.01
2017-02-22,RU,32319.615742809812,32578.17266875229,31705.543043696423,32384.25497429543,529904.0,282578.0,10567752.96
2017-02-23,RU,32238.816703452787,32513.53343726667,30000.683313263205,30202.680911655767,617992.0,296156.0,12004254.11
2017-02-24,RU,30428.918221855438,30461.237837598248,29669.407251899407,30380.438798241223,369218.0,282682.0,6892300.36
2017-02-27,RU,30453.157933662544,30727.874667476426,29992.603409327505,30356.199086434113,425564.0,277430.0,8003222.8
2017-02-28,RU,30251.160335269982,30380.438798241223,29346.21109447131,29879.48475422767,535634.0,289578.0,9921637.26
2017-03-01,RU,29911.80436997048,30857.153130447667,29879.48475422767,30291.559854948497,458414.0,273944.0,8583837.42
2017-03-02,RU,30323.879470691303,30590.516300569485,29927.964177841885,30469.31774153395,404224.0,279934.0,7584732.28
2017-03-03,RU,30380.438798241223,31002.591401290312,29960.283793584695,30865.23303438337,515968.0,271838.0,9738234.84
2017-03-06,RU,31002.591401290312,31107.630152454443,30113.80196836304,30235.000527398577,407294.0,258368.0,7723291.52
