ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_mode_desc,list_date,delist_date,d_month,last_ddate
RU1904.SHF,RU1904,SHFE,橡胶1904,RU,,吨,10.0,人民币元/吨,5人民币元/吨,实物交割,2018-04-17,2019-04-15,201904,2019-04-22
SN1904.SHF,SN1904,SHFE,沪锡1904,SN,,吨,1.0,人民币元/吨,10人民币元/吨,实物交割,2018-04-17,2019-04-15,201904,2019-04-22
WR1904.SHF,WR1904,SHFE,线材1904,WR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-04-17,2019-04-15,201904,2019-04-22
ZN1904.SHF,ZN1904,SHFE,沪锌1904,ZN,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2018-04-17,2019-04-15,201904,2019-04-22
AU1005.SHF,AU1005,SHFE,沪金1005,AU,,克,1000.0,人民币元/克,0.05人民币元/克,实物交割,2009-05-18,2010-05-17,201005,2010-05-24
CU1005.SHF,CU1005,SHFE,沪铜1005,CU,,吨,5.0,人民币元/吨,10人民币元/吨,实物交割,2009-05-18,2010-05-17,201005,2010-05-24
RU1005.SHF,RU1005,SHFE,橡胶1005,RU,,吨,10.0,人民币元/吨,5人民币元/吨,实物交割,2009-05-18,2010-05-17,201005,2010-05-24
ZN1005.SHF,ZN1005,SHFE,沪锌1005,ZN,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2009-05-18,2010-05-17,201005,2010-05-24
RU9605.SHF,RU9605,SHFE,橡胶9605,RU,,吨,10.0,人民币元/吨,5人民币元/吨,实物交割,1996-01-15,1996-05-17,199605,1996-05-22
FU1905.SHF,FU1905,SHFE,燃油1905,FU,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-05-02,2019-04-30,201905,2019-05-10
HC1905.SHF,HC1905,SHFE,热轧卷板1905,HC,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-05-16,2019-05-15,201905,2019-05-22
AL1905.SHF,AL1905,SHFE,沪铝1905,AL,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2018-05-16,2019-05-15,201905,2019-05-22
CU1905.SHF,CU1905,SHFE,沪铜1905,CU,,吨,5.0,人民币元/吨,10人民币元/吨,实物交割,2018-05-16,2019-05-15,201905,2019-05-22
ZN1905.SHF,ZN1905,SHFE,沪锌1905,ZN,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2018-05-16,2019-05-15,201905,2019-05-22
PB1905.SHF,PB1905,SHFE,沪铅1905,PB,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2018-05-16,2019-05-15,201905,2019-05-22
NI1905.SHF,NI1905,SHFE,沪镍1905,NI,,吨,1.0,人民币元/吨,10人民币元/吨,实物交割,2018-05-16,2019-05-15,201905,2019-05-22
SN1905.SHF,SN1905,SHFE,沪锡1905,SN,,吨,1.0,人民币元/吨,10人民币元/吨,实物交割,2018-05-16,2019-05-15,201905,2019-05-22
RU1905.SHF,RU1905,SHFE,橡胶1905,RU,,吨,10.0,人民币元/吨,5人民币元/吨,实物交割,2018-05-16,2019-05-15,201905,2019-05-22
